Date,Phase,muscle_group,Exercise,Weight (lbs),Set Number,Reps,Bodyweight,Notes:
2025-03-24,Bulk,Pull,Standing Dumbell Curls,42.5,2,8,NA,
2025-03-24,Bulk,Pull,Standing Dumbell Curls,42.5,3,6,NA,
2025-03-25,Bulk,Legs,Lying Leg Curls,120,1,8,NA,
2025-03-25,Bulk,Legs,Lying Leg Curls,120,2,7,NA,
2025-03-25,Bulk,Legs,Lying Leg Curls,120,3,6,NA,
2025-03-25,Bulk,Legs,Leg Press,370,1,8,NA,
2025-03-25,Bulk,Legs,Leg Press,370,2,8,NA,
2025-03-25,Bulk,Legs,Leg Press,370,3,8,NA,
2025-03-25,Bulk,Legs,Leg Extensions,210,1,8,NA,
2025-03-25,Bulk,Legs,Leg Extensions,210,2,8,NA,
2025-03-25,Bulk,Legs,Bulgarian Split Squats,50,1,8,NA,
2025-03-25,Bulk,Legs,Bulgarian Split Squats,50,2,6,NA,
2025-03-25,Bulk,Legs,Bulgarian Split Squats,50,3,6,NA,
2025-03-26,Bulk,Pull,Lat Pulldown,170,1,8,NA,Strict new form
2025-03-26,Bulk,Pull,Lat Pulldown,170,2,8,NA,Strict new form
2025-03-26,Bulk,Pull,Lat Pulldown,180,3,6,NA,Strict new form
2025-03-26,Bulk,Pull,Isolated Seated Machine Rows,105,1,8,NA,
2025-03-26,Bulk,Pull,Isolated Seated Machine Rows,105,2,7,NA,
2025-03-26,Bulk,Pull,Isolated Seated Machine Rows,100,3,8,NA,
2025-03-26,Bulk,Push,Cable Lateral Raise,40,1,8,NA,
2025-03-26,Bulk,Push,Cable Lateral Raise,40,2,8,NA,
2025-03-26,Bulk,Push,Cable Lateral Raise,40,3,8,NA,
2025-03-26,Bulk,Push,Rope Overhead Tricep,110,1,8,NA,
2025-03-26,Bulk,Push,Rope Overhead Tricep,110,2,7,NA,
2025-03-26,Bulk,Push,Rope Overhead Tricep,110,3,7,NA,
2025-03-26,Bulk,Push,Rope Pushdown Tricep,120,1,6,NA,
2025-03-26,Bulk,Push,Rope Pushdown Tricep,120,2,6,NA,
2025-03-26,Bulk,Push,Rope Pushdown Tricep,120,3,5,NA,
2025-03-27,Bulk,Push,Smith Machine Incline Press,180,1,8,NA,
2025-03-27,Bulk,Push,Smith Machine Incline Press,180,2,7,NA,
2025-03-27,Bulk,Push,Smith Machine Incline Press,180,3,6,NA,
2025-03-27,Bulk,Push,Seated Cable Chest Press,130,1,8,NA,
2025-03-27,Bulk,Push,Seated Cable Chest Press,130,2,7,NA,
2025-03-27,Bulk,Push,Seated Cable Chest Press,130,3,6,NA,
2025-03-28,Bulk,Push,Cable Lateral Raise,45,1,7,NA,
2025-03-28,Bulk,Push,Cable Lateral Raise,45,2,7,NA,
2025-03-28,Bulk,Push,Cable Lateral Raise,45,3,6,NA,
2025-03-28,Bulk,Pull,Standing Dumbell Curls,45,1,7,NA,
2025-03-28,Bulk,Pull,Standing Dumbell Curls,45,2,7,NA,
2025-03-28,Bulk,Pull,Standing Dumbell Curls,45,3,6,NA,
2025-03-28,Bulk,Push,Rope Overhead Tricep,110,1,8,NA,
2025-03-28,Bulk,Pull,Reverse Pec Dec Rear Delts,130,1,8,NA,
2025-03-28,Bulk,Pull,Reverse Pec Dec Rear Delts,150,2,8,NA,
2025-03-28,Bulk,Pull,Reverse Pec Dec Rear Delts,150,3,8,NA,
2025-03-28,Bulk,Push,Rope Pushdown Tricep,110,1,4,NA,felt really weak here
2025-03-28,Bulk,Push,Rope Pushdown Tricep,100,2,6,NA,felt really weak here
2025-03-28,Bulk,Push,Rope Pushdown Tricep,100,3,6,NA,felt really weak here
2025-03-31,Bulk,Push,Bench Press,225,1,3,NA,
2025-03-31,Bulk,Push,Bench Press,225,2,4,NA,PR!
2025-03-31,Bulk,Push,Bench Press,205,3,3,NA,
2025-03-31,Bulk,Push,Pec Dec,145,1,6,NA,
2025-03-31,Bulk,Push,Pec Dec,130,2,8,NA,
2025-03-31,Bulk,Push,Pec Dec,130,3,8,NA,
2025-03-31,Bulk,Pull,Standing Dumbell Curls,42.5,1,8,NA,
2025-03-31,Bulk,Pull,Standing Dumbell Curls,42.5,2,8,NA,
2025-03-31,Bulk,Pull,Standing Dumbell Curls,42.5,3,7.5,NA,
2025-03-31,Bulk,Pull,Rope Hammer Curls,150,1,10,NA,
2025-03-31,Bulk,Pull,Rope Hammer Curls,150,2,10,NA,
2025-03-31,Bulk,Pull,Rope Hammer Curls,150,3,10,NA,
2025-03-31,Bulk,Push,Cable Lateral Raise,40,1,8,NA,
2025-03-31,Bulk,Push,Cable Lateral Raise,40,2,8,NA,
2025-04-01,Bulk,Pull,Lat Pulldown,190,1,8,NA,
2025-04-01,Bulk,Pull,Lat Pulldown,190,2,6,NA,
2025-04-01,Bulk,Pull,Lat Pulldown,190,3,6,NA,
2025-04-01,Bulk,Pull,Seated Machine Rows (Cybex),90,1,8,NA,"Cybex, underhand"
2025-04-01,Bulk,Pull,Seated Machine Rows (Cybex),90,2,6,NA,"Cybex, underhand"
2025-04-01,Bulk,Pull,Seated Machine Rows (Cybex),90,3,4,NA,"Cybex, underhand"
2025-04-01,Bulk,Pull,Rear Delt Cable,35,1,10,NA,
2025-04-01,Bulk,Pull,Rear Delt Cable,35,2,10,NA,
2025-04-01,Bulk,Pull,Rear Delt Cable,35,3,8,NA,
2025-04-01,Bulk,Pull,EZ Bar Overhead Tricep,55,1,15,NA,
2025-04-01,Bulk,Pull,EZ Bar Overhead Tricep,55,2,15,NA,
2025-04-01,Bulk,Pull,EZ Bar Overhead Tricep,55,3,15,NA,
2025-04-01,Bulk,Pull,EZ Bar Overhead Tricep,55,4,15,NA,
2025-04-01,Bulk,Push,Rope Pushdown Tricep,110,1,7,NA,
2025-04-02,Bulk,Legs,Lying Leg Curls,120,1,8,NA,
2025-04-02,Bulk,Legs,Lying Leg Curls,120,2,8,NA,
2025-04-02,Bulk,Legs,Lying Leg Curls,120,3,6.5,NA,
2025-04-02,Bulk,Legs,Hack Squats,320,1,12,NA,
2025-04-02,Bulk,Legs,Hack Squats,320,2,10,NA,
2025-04-02,Bulk,Legs,Leg Extensions,220,1,10,NA,
2025-04-02,Bulk,Legs,Leg Extensions,230,2,10,NA,
2025-04-02,Bulk,Legs,Leg Extensions,245,3,15,NA,
2025-04-02,Bulk,Push,Incline Dumbell Press ,92.5,1,8,NA,
2025-04-02,Bulk,Push,Incline Dumbell Press ,92.5,2,7,NA,
2025-04-02,Bulk,Push,Incline Dumbell Press ,92.5,3,6,NA,
2025-04-02,Bulk,Push,Seated Cable Chest Press,130,1,6,NA,
2025-04-02,Bulk,Push,Seated Cable Chest Press,130,2,7,NA,
2025-04-02,Bulk,Push,Seated Cable Chest Press,130,3,7,NA,
2025-04-03,Bulk,Pull,Seated Machine Rows,200,1,8,NA,Non Isolated
2025-04-03,Bulk,Pull,Seated Machine Rows,200,2,8,NA,Non Isolated
2025-04-07,Bulk,Push,Bench Press,205,1,8,NA,
2025-04-07,Bulk,Push,Bench Press,205,2,8,NA,
2025-04-07,Bulk,Push,Bench Press,205,3,6,NA,
2025-04-07,Bulk,Push,Weighted Dips,70,1,8,NA,
2025-04-07,Bulk,Push,Weighted Dips,70,2,8,NA,
2025-04-07,Bulk,Push,Weighted Dips,70,3,8,NA,
2025-04-07,Bulk,Pull,Standing Dumbell Curls,42.5,1,8,NA,More strict
2025-04-07,Bulk,Pull,Standing Dumbell Curls,42.5,2,6,NA,More strict
2025-04-07,Bulk,Pull,Standing Dumbell Curls,42.5,3,4,NA,More strict
2025-04-08,Bulk,Pull,Lat Pulldown,190,1,8,NA,
2025-04-08,Bulk,Pull,Lat Pulldown,190,2,7,NA,
2025-04-08,Bulk,Pull,Seated Cable Rows ,180,1,8,NA,
2025-04-08,Bulk,Pull,Seated Cable Rows ,180,2,8,NA,
2025-04-08,Bulk,Pull,Seated Cable Rows ,180,3,6,NA,
2025-04-08,Bulk,Push,Rope Pushdown Tricep,120,1,8,NA,
2025-04-08,Bulk,Push,Rope Pushdown Tricep,120,2,8,NA,
2025-04-08,Bulk,Push,Rope Overhead Tricep,110,1,8,NA,
2025-04-08,Bulk,Push,Rope Overhead Tricep,110,2,6,NA,
2025-04-09,Bulk,Pull,Reverse Pec Dec Rear Delts,120,1,8,NA,
2025-04-09,Bulk,Pull,Reverse Pec Dec Rear Delts,120,2,8,NA,
2025-04-09,Bulk,Pull,Reverse Pec Dec Rear Delts,120,3,8,NA,
2025-04-10,Bulk,Push,Smith Machine Incline Press,180,1,8,NA,
2025-04-10,Bulk,Push,Smith Machine Incline Press,180,2,8,NA,
2025-04-10,Bulk,Pull,Lat Pulldown (Cybex),185,1,6,NA,Cybex
2025-04-10,Bulk,Pull,Lat Pulldown (Cybex),180,2,7,NA,Cybex
2025-04-10,Bulk,Pull,Seated Cable Rows ,190,1,8,NA,
2025-04-10,Bulk,Pull,Seated Cable Rows ,190,2,8,NA,
2025-04-10,Bulk,Pull,Seated Cable Rows ,190,3,7,NA,
2025-04-17,Bulk,Push,Cable Lateral Raise,45,1,8,NA,
2025-04-17,Bulk,Push,Cable Lateral Raise,45,2,6,NA,
2025-04-17,Bulk,Push,Cable Lateral Raise,40,3,7,NA,
2025-04-17,Bulk,Push,Machine Shoulder Press,160,1,8,NA,
2025-04-17,Bulk,Push,Machine Shoulder Press,160,2,8,NA,
2025-04-17,Bulk,Push,Machine Shoulder Press,160,3,8,NA,
2025-04-17,Bulk,Pull,Standing Dumbell Curls,40,1,8,NA,
2025-04-17,Bulk,Pull,Standing Dumbell Curls,40,2,7,NA,
2025-04-17,Bulk,Push,Cable Lateral Raise,40,1,6,NA,Felt Weak today
2025-04-17,Bulk,Push,Cable Lateral Raise,40,2,6,NA,Felt Weak today
2025-05-20,Bulk,Push,Incline Dumbell Press ,92.5,1,8,NA,
2025-05-20,Bulk,Push,Incline Dumbell Press ,95,2,8,NA,pr!
2025-05-20,Bulk,Push,Incline Dumbell Press ,95,3,8,NA,pr!
2025-05-20,Bulk,Pull,EZ Bar Preacher Curl,35,1,6,NA,
2025-05-20,Bulk,Pull,EZ Bar Preacher Curl,27.5,2,6,NA,
2025-05-20,Bulk,Pull,EZ Bar Preacher Curl,27.5,3,6,NA,
2025-05-20,Bulk,Push,Seated Cable Chest Press,150,1,8,NA,
2025-05-20,Bulk,Push,Seated Cable Chest Press,150,2,6,NA,
2025-05-20,Bulk,Push,Seated Cable Chest Press,140,3,8,NA,
2025-05-20,Bulk,Push,Dumbell Lateral Raises,30,1,12,NA,
2025-05-20,Bulk,Push,Dumbell Lateral Raises,30,2,12,NA,
2025-05-20,Bulk,Push,Dumbell Lateral Raises,30,3,10,NA,
2025-05-20,Bulk,Pull,Rope Hammer Curls,150,1,8,NA,
2025-05-20,Bulk,Pull,Rope Hammer Curls,150,2,8,NA,
2025-06-05,Bulk,Push,Incline Dumbell Press ,100,1,4,NA,
2025-06-05,Bulk,Push,Incline Dumbell Press ,95,2,6,NA,
2025-06-09,Cut,Push,Smith Machine Incline Press,190,1,7,158,
2025-06-09,Cut,Push,Smith Machine Incline Press,190,2,7,158,
2025-06-09,Cut,Push,Smith Machine Incline Press,190,3,6,158,
2025-06-09,Cut,Push,Seated Cable Chest Press,150,1,7,158,
2025-06-09,Cut,Push,Seated Cable Chest Press,130,2,7,158,
2025-06-09,Cut,Push,Cable Lateral Raise,40,1,8,158,
2025-06-09,Cut,Push,Cable Lateral Raise,40,2,8,158,
2025-06-09,Cut,Push,Cable Lateral Raise,40,3,8,158,
2025-06-09,Cut,Push,Rope Pushdown Tricep,120,1,8,158,
2025-06-09,Cut,Push,Rope Pushdown Tricep,120,2,8,158,
2025-06-09,Cut,Push,Rope Pushdown Tricep,120,3,8,158,
2025-06-09,Cut,Push,Rope Overhead Tricep,110,1,4,158,
2025-06-09,Cut,Push,Rope Overhead Tricep,70,2,6,158,
2025-06-11,Cut,Pull,Lat Pulldown,170,1,8,NA,
2025-06-11,Cut,Pull,Lat Pulldown,170,2,8,NA,
2025-06-11,Cut,Pull,Lat Pulldown,170,3,8,NA,
2025-06-11,Cut,Pull,Seated Cable Rows ,140,1,8,NA,
2025-06-11,Cut,Pull,Seated Cable Rows ,140,2,8,NA,
2025-06-11,Cut,Pull,Seated Cable Rows ,140,3,8,NA,
2025-06-11,Cut,Pull,Standing Dumbell Curls,40,1,8,NA,
2025-06-12,Cut,Push,Cable Lateral Raise,45,1,7,155.2,
2025-06-12,Cut,Push,Cable Lateral Raise,45,2,7,155.2,
2025-06-12,Cut,Push,Cable Lateral Raise,45,3,7,155.2,
2025-06-12,Cut,Push,Cable Lateral Raise,45,1,7,155.2,
2025-06-12,Cut,Push,Cable Lateral Raise,42.5,2,7,155.2,
2025-06-12,Cut,Push,Cable Lateral Raise,42.5,3,6,155.2,
2025-06-12,Cut,Push,Rope Overhead Tricep,110,1,8,155.2,
2025-06-12,Cut,Push,Rope Overhead Tricep,110,2,5,155.2,
2025-06-12,Cut,Push,Rope Overhead Tricep,110,3,5,155.2,
2025-06-12,Cut,Push,Rope Front Delt Raises,60,1,8,155.2,
2025-06-12,Cut,Push,Rope Front Delt Raises,60,2,8,155.2,
2025-06-12,Cut,Push,Rope Front Delt Raises,60,3,8,155.2,
2025-06-12,Cut,Push,Bar Cable Curls,100,1,8,155.2,
2025-06-12,Cut,Push,Bar Cable Curls,110,2,8,155.2,
2025-06-12,Cut,Push,Bar Cable Curls,110,3,8,155.2,
2025-06-12,Cut,Push,Bar Pushdown Tricep,110,1,6,155.2,
2025-06-12,Cut,Push,Bar Pushdown Tricep,110,2,8,155.2,
2025-06-12,Cut,Push,Bar Pushdown Tricep,110,3,8,155.2,
2025-06-16,Cut,Pull,Lat Pulldown,190,1,8,154.8,
2025-06-16,Cut,Pull,Lat Pulldown,190,2,6,154.8,
2025-06-16,Cut,Pull,Lat Pulldown,190,3,6,154.8,
2025-06-16,Cut,Pull,Seated Cable Rows ,170,1,8,154.8,
2025-06-16,Cut,Pull,Seated Cable Rows ,170,2,8,154.8,
2025-06-16,Cut,Pull,Seated Cable Rows ,170,3,8,154.8,
2025-06-16,Cut,Pull,Rope Rear Delts,90,1,15,154.8,
2025-06-16,Cut,Pull,Rope Rear Delts,90,2,15,154.8,
2025-06-16,Cut,Pull,Rope Rear Delts,100,3,8,154.8,
2025-06-16,Cut,Pull,Standing Dumbell Curls,42.5,1,8,154.8,
2025-06-16,Cut,Pull,Standing Dumbell Curls,42.5,2,7,154.8,
2025-06-16,Cut,Pull,Standing Dumbell Curls,42.5,3,7,154.8,
2025-06-16,Cut,Pull,Rope Hammer Curls,150,1,7,154.8,
2025-06-16,Cut,Pull,Rope Hammer Curls,140,2,7,154.8,
2025-06-16,Cut,Pull,Rope Hammer Curls,140,3,7,154.8,
2025-06-17,Cut,Legs,Leg Press,290,1,15,NA,
2025-06-17,Cut,Legs,Leg Press,290,2,15,NA,
2025-06-17,Cut,Legs,Leg Press,290,3,15,NA,
2025-06-17,Cut,Legs,Leg Extensions,170,1,15,NA,
2025-06-17,Cut,Legs,Leg Extensions,170,2,15,NA,
2025-06-17,Cut,Legs,Leg Extensions,170,3,15,NA,
2025-06-17,Cut,Legs,Hip Thrust,135,1,8,NA,
2025-06-17,Cut,Legs,Hip Thrust,135,2,8,NA,
2025-06-17,Cut,Legs,Hip Thrust,225,3,8,NA,
2025-06-17,Cut,Legs,Back Extensions,35,1,12,NA,
2025-06-17,Cut,Legs,Back Extensions,35,2,12,NA,
2025-06-18,Cut,Push,Cable Lateral Raise,40,1,8,154.6,
2025-06-18,Cut,Push,Cable Lateral Raise,40,2,8,154.6,
2025-06-18,Cut,Push,Cable Lateral Raise,40,3,8,154.6,
2025-06-18,Cut,Pull,Revers Pec Dec Rear Delts,120,1,8,154.6,
2025-06-18,Cut,Pull,Revers Pec Dec Rear Delts,120,2,8,154.6,
2025-06-18,Cut,Pull,Revers Pec Dec Rear Delts,150,3,6,154.6,
2025-06-18,Cut,Pull,Bayesian Curls,70,1,6,154.6,
2025-06-18,Cut,Pull,Bayesian Curls,70,2,6,154.6,
2025-06-18,Cut,Pull,Bayesian Curls,70,3,5,154.6,
2025-06-18,Cut,Push,Rope Pushdown Tricep,130,1,8,154.6,
2025-06-18,Cut,Push,Rope Pushdown Tricep,130,2,8,154.6,
2025-06-18,Cut,Push,Rope Pushdown Tricep,130,3,8,154.6,
2025-06-23,Cut,Pull,Pullups ,0,1,14,NA,
2025-06-23,Cut,Pull,Pullups ,0,2,10,NA,
2025-06-23,Cut,Pull,Pullups ,0,3,8,NA,
2025-06-23,Cut,Pull,Diverging Isolated Lat Pulldown,210,1,8,NA,
2025-06-23,Cut,Pull,Diverging Isolated Lat Pulldown,210,2,8,NA,
2025-06-23,Cut,Pull,Diverging Isolated Lat Pulldown,210,3,8,NA,
2025-06-23,Cut,Pull,Standing Dumbell Curls,42.5,1,7,NA,
2025-06-23,Cut,Pull,Standing Dumbell Curls,42.5,2,7,NA,
2025-06-23,Cut,Pull,Standing Dumbell Curls,42.5,1,4,NA,
2025-06-23,Cut,Pull,Reverse Pec Dec Rear Delts,150,1,8,NA,
2025-06-23,Cut,Pull,Reverse Pec Dec Rear Delts,150,2,8,NA,
2025-06-23,Cut,Pull,Reverse Pec Dec Rear Delts,150,3,8,NA,
2025-06-24,Cut,Push,Bench Press,225,1,3,153.8,
2025-06-24,Cut,Push,Bench Press,205,2,6,153.8,
2025-06-24,Cut,Push,Bench Press,205,3,4,153.8,
2025-06-24,Cut,Push,Seated Cable Chest Press,150,1,6,153.8,
2025-06-24,Cut,Push,Seated Cable Chest Press,140,2,5,153.8,
2025-06-24,Cut,Push,Seated Cable Chest Press,130,3,6,153.8,
2025-06-24,Cut,Push,Cable Lateral Raise,27.5,1,15,153.8,
2025-06-24,Cut,Push,Cable Lateral Raise,27.5,2,15,153.8,
2025-06-24,Cut,Push,Cable Lateral Raise,27.5,3,15,153.8,
2025-06-24,Cut,Push,Dumbell Lateral Raises,27.5,1,15,153.8,
2025-06-24,Cut,Push,Dumbell Lateral Raises,27.5,2,15,153.8,
2025-06-24,Cut,Push,Dumbell Lateral Raises,27.5,3,14,153.8,
2025-06-24,Cut,Push,Rope Pushdown Tricep,130,1,5,153.8,
2025-06-24,Cut,Push,Rope Pushdown Tricep,120,2,8,153.8,
2025-06-25,Cut,Legs,Leg Press (Precor),220,1,15,153.4,
2025-06-25,Cut,Legs,Leg Press (Precor),240,2,15,153.4,
2025-06-25,Cut,Legs,Leg Press (Precor),240,3,15,153.4,
2025-06-25,Cut,Legs,Hip Thrust,135,1,15,153.4,
2025-06-25,Cut,Legs,Hip Thrust,135,2,15,153.4,
2025-06-25,Cut,Legs,Hip Thrust,135,3,15,153.4,
2025-06-25,Cut,Legs,Barbell RDL,135,1,10,153.4,
2025-06-25,Cut,Legs,Barbell RDL,135,2,10,153.4,
2025-06-25,Cut,Legs,Barbell RDL,135,3,10,153.4,
2025-06-25,Cut,Legs,Back Extensions,30,1,10,153.4,
2025-06-25,Cut,Legs,Back Extensions,30,2,10,153.4,
2025-06-25,Cut,Legs,Back Extensions,30,3,10,153.4,
2025-06-26,Cut,Push,Seated Machine Incline Press,100,1,6,NA,Feel like deloaded today
2025-06-26,Cut,Push,Seated Machine Incline Press,55,2,10,NA,Feel like deloaded today
2025-06-26,Cut,Push,Seated Machine Incline Press,55,3,8,NA,Feel like deloaded today
2025-06-26,Cut,Push,Pec Dec,100,1,8,NA,Feel like deloaded today
2025-06-26,Cut,Push,Pec Dec,100,2,8,NA,Feel like deloaded today
2025-06-26,Cut,Push,Pec Dec,100,3,8,NA,Feel like deloaded today
2025-06-26,Cut,Pull,Lat Pulldown,150,1,8,NA,Feel like deloaded today
2025-06-26,Cut,Pull,Lat Pulldown,150,2,8,NA,Feel like deloaded today
2025-06-26,Cut,Pull,Lat Pulldown,150,3,8,NA,Feel like deloaded today
2025-06-26,Cut,Pull,Kneeling Isolated Lat Pulldown,60,1,8,NA,Feel like deloaded today
2025-06-26,Cut,Pull,Kneeling Isolated Lat Pulldown,60,2,8,NA,Feel like deloaded today
2025-06-26,Cut,Pull,Kneeling Isolated Lat Pulldown,60,3,8,NA,Feel like deloaded today
2025-06-27,Cut,Push,Machine Shoulder Press,150,1,8,152.4,
2025-06-27,Cut,Push,Machine Shoulder Press,155,2,8,152.4,
2025-06-27,Cut,Push,Machine Shoulder Press,155,3,8,152.4,
2025-06-27,Cut,Push,Dumbell Lateral Raises,25,1,15,152.4,
2025-06-27,Cut,Push,Dumbell Lateral Raises,25,2,15,152.4,
2025-06-27,Cut,Push,Dumbell Lateral Raises,25,3,15,152.4,
2025-06-27,Cut,Pull,EZ Bar Preacher Curl,25,1,8,152.4,
2025-06-27,Cut,Pull,EZ Bar Preacher Curl,25,2,8,152.4,
2025-06-27,Cut,Pull,EZ Bar Preacher Curl,25,3,8,152.4,
2025-06-27,Cut,Push,Rope Pushdown Tricep,130,1,8,152.4,
2025-06-27,Cut,Push,Rope Pushdown Tricep,130,2,6,152.4,
2025-06-27,Cut,Push,Isolated Overhead Tricep,40,1,8,152.4,
2025-06-27,Cut,Push,Isolated Overhead Tricep,50,2,8,152.4,
2025-06-27,Cut,Pull,Isolated Rear Delt Cable,40,1,8,152.4,
2025-06-30,Cut,Push,Incline Bench Press,155,1,8,152.4,
2025-06-30,Cut,Push,Incline Bench Press,155,2,8,152.4,
2025-06-30,Cut,Push,Incline Bench Press,155,3,8,152.4,
2025-06-30,Cut,Push,Pec Dec,160,1,6,152.4,
2025-06-30,Cut,Push,Pec Dec,150,2,6,152.4,
2025-06-30,Cut,Push,Pec Dec,150,3,6,152.4,
2025-06-30,Cut,Push,Cable Lateral Raise,45,1,6,152.4,
2025-06-30,Cut,Push,Cable Lateral Raise,40,2,8,152.4,
2025-06-30,Cut,Push,Cable Lateral Raise,40,3,8,152.4,
2025-06-30,Cut,Push,Rope Pushdown Tricep,130,1,8,152.4,
2025-06-30,Cut,Push,Rope Pushdown Tricep,130,2,6,152.4,
2025-06-30,Cut,Push,Rope Pushdown Tricep,130,3,5,152.4,
2025-06-30,Cut,Push,Isolated Overhead Tricep,60,1,3,152.4,
2025-06-30,Cut,Push,Isolated Overhead Tricep,50,2,7,152.4,
2025-07-02,Cut,Pull,Lat Pulldown,190,1,8,152.6,
2025-07-02,Cut,Pull,Lat Pulldown,190,2,7,152.6,
2025-07-02,Cut,Pull,Lat Pulldown,170,3,7,152.6,
2025-07-02,Cut,Pull,Cable Pullovers,130,1,7,152.6,
2025-07-02,Cut,Pull,Cable Pullovers,120,2,6,152.6,
2025-07-02,Cut,Pull,Cable Pullovers,120,3,7.5,152.6,
2025-07-02,Cut,Pull,Rear Delt Cable,35,1,7,152.6,
2025-07-02,Cut,Pull,Rear Delt Cable,35,2,5,152.6,
2025-07-02,Cut,Pull,Rear Delt Cable,25,3,8,152.6,
2025-07-02,Cut,Push,Rope Overhead Tricep,110,1,8,152.6,
2025-07-02,Cut,Push,Rope Overhead Tricep,110,2,6,152.6,
2025-07-02,Cut,Pull,Bar Cable Curls,120,1,8,152.6,
2025-07-02,Cut,Pull,Bar Cable Curls,120,2,8,152.6,
2025-07-03,Cut,Push,Smith Machine Incline Press,180,1,4,152,
2025-07-03,Cut,Push,Smith Machine Incline Press,160,2,6,152,
2025-07-03,Cut,Push,Seated Cable Chest Press,150,1,6,152,
2025-07-03,Cut,Push,Seated Cable Chest Press,140,2,5,152,
2025-07-03,Cut,Push,Seated Cable Chest Press,140,3,3,152,
2025-07-03,Cut,Push,Cable Lateral Raise,40,1,8,152,
2025-07-03,Cut,Push,Cable Lateral Raise,40,2,7,152,
2025-07-03,Cut,Push,Rope Front Delt Raises,60,1,7,152,
2025-07-03,Cut,Push,Rope Front Delt Raises,60,2,7,152,
2025-07-07,Cut,Push,Seated Machine Incline Press,115,1,8,150.2,
2025-07-07,Cut,Push,Seated Machine Incline Press,115,2,6.5,150.2,
2025-07-07,Cut,Push,Weighted Dips,45,1,10,150.2,
2025-07-07,Cut,Push,Weighted Dips,55,2,6,150.2,
2025-07-07,Cut,Push,Weighted Dips,55,3,8,150.2,
2025-07-07,Cut,Push,Dumbell Lateral Raises,27.5,1,15,150.2,
2025-07-07,Cut,Push,Dumbell Lateral Raises,27.5,2,15,150.2,
2025-07-07,Cut,Push,Dumbell Lateral Raises,27.5,3,15,150.2,
2025-07-07,Cut,Push,Isolated Pushdown Tricep,60,1,4,150.2,
2025-07-07,Cut,Push,Isolated Pushdown Tricep,45,2,8,150.2,
2025-07-07,Cut,Push,Isolated Overhead Tricep,45,1,7,150.2,
2025-07-07,Cut,Push,Isolated Overhead Tricep,45,2,7,150.2,
2025-07-08,Cut,Pull,Lat Pulldown,200,1,5,150,
2025-07-08,Cut,Pull,Lat Pulldown,180,2,7,150,
2025-07-08,Cut,Pull,Lat Pulldown,180,3,7,150,
2025-07-08,Cut,Pull,Isolated Rear Delt Cable,40,1,6,150,
2025-07-08,Cut,Pull,Isolated Rear Delt Cable,30,2,8,150,
2025-07-08,Cut,Pull,Isolated Rear Delt Cable,30,3,8,150,
2025-07-08,Cut,Pull,Standing Dumbell Curls,40,1,7,150,
2025-07-08,Cut,Pull,Standing Dumbell Curls,40,2,7,150,
2025-07-08,Cut,Pull,Standing Dumbell Curls,40,3,6,150,
2025-07-08,Cut,Pull,Standing Dumbell Hammer Curls,40,1,20,150,
2025-07-14,Cut,Push,Smith Machine Incline Press,180,1,8,149.4,
2025-07-14,Cut,Push,Smith Machine Incline Press,180,2,6,149.4,
2025-07-14,Cut,Push,Chest Fly,80,1,10,149.4,
2025-07-14,Cut,Push,Chest Fly,80,2,10,149.4,
2025-07-14,Cut,Push,Cable Lateral Raise,45,1,6,149.4,
2025-07-14,Cut,Push,Cable Lateral Raise,40,2,6,149.4,
2025-07-14,Cut,Push,Rope Overhead Tricep,110,1,6,149.4,
2025-07-14,Cut,Push,Rope Overhead Tricep,100,2,6,149.4,
2025-07-14,Cut,Push,Rope Pushdown Tricep,120,1,6,149.4,
2025-07-15,Cut,Pull,Lat Pulldown,190,1,6,148.4,
2025-07-15,Cut,Pull,Lat Pulldown,190,2,8,148.4,
2025-07-15,Cut,Pull,Seated Cable Rows,160,1,8,148.4,
2025-07-15,Cut,Pull,Seated Cable Rows,180,2,8,148.4,
2025-07-15,Cut,Pull,Standing Dumbell Curls,42.5,1,8,148.4,
2025-07-15,Cut,Pull,Standing Dumbell Curls,42.5,2,8,148.4,
2025-07-15,Cut,Pull,Standing Dumbell Hammer Curls,42.5,1,8,148.4,
2025-07-15,Cut,Pull,Standing Dumbell Hammer Curls,42.5,2,8,148.4,
2025-07-17,Cut,Push,Seated Cable Chest Press,150,1,8,149,
2025-07-17,Cut,Push,Seated Cable Chest Press,150,2,8,149,
2025-07-17,Cut,Push,Seated Cable Chest Press,150,3,6,149,
2025-07-17,Cut,Push,Weighted Dips,55,1,8,149,
2025-07-17,Cut,Push,Weighted Dips,55,2,8,149,
2025-07-17,Cut,Pull,Lat Pulldown,170,1,8,149,
2025-07-17,Cut,Pull,Lat Pulldown,190,2,8,149,
2025-07-17,Cut,Pull,Seated Cable Rows,140,1,10,149,
2025-07-17,Cut,Pull,Seated Cable Rows,140,2,8,149,
2025-07-21,Cut,Push,Seated Machine Incline Press,115,1,8,NA,
2025-07-21,Cut,Push,Seated Machine Incline Press,115,2,7,NA,
2025-07-21,Cut,Push,Chest Fly,90,1,10,NA,
2025-07-21,Cut,Push,Chest Fly,90,2,9,NA,
2025-07-21,Cut,Push,Cable Lateral Raise,45,1,5,NA,
2025-07-21,Cut,Push,Cable Lateral Raise,45,2,6,NA,
2025-07-21,Cut,Push,Rope Pushdown Tricep,130,1,6,NA,
